rank,word,frequency
1,the,251
2,and,159
3,of,153
4,to,118
5,our,68
6,that,67
7,we,63
8,a,61
9,in,56
10,is,43
11,which,40
12,be,35
13,for,35
14,this,34
15,on,32
16,with,30
17,it,30
18,will,29
19,have,28
20,by,28
21,i,26
22,are,25
23,as,25
24,us,24
25,my,24
26,but,23
27,can,22
28,they,20
29,not,20
30,has,19
31,you,19
32,every,17
33,who,17
34,or,16
35,no,15
36,been,15
37,those,14
38,nation,14
39,than,14
40,more,13
41,their,13
42,an,13
43,all,12
44,its,12
45,your,12
46,these,12
47,so,12
48,from,12
49,new,12
50,must,11
51,people,11
52,government,11
53,at,10
54,less,10
55,may,9
56,too,9
57,was,9
58,what,8
59,me,8
60,because,8
61,when,8
62,america,8
63,time,7
64,now,7
65,day,7
66,nor,7
67,let,7
68,world,7
69,country,7
70,do,7
71,between,6
72,common,6
73,his,6
74,today,6
75,shall,6
76,united,6
77,one,6
78,there,6
79,most,6
80,public,6
81,work,6
82,them,6
83,cannot,6
84,only,5
85,good,5
86,meet,5
87,future,5
88,some,5
89,men,5
90,present,5
91,power,5
92,generation,5
93,over,5
94,under,5
95,far,5
96,just,5
97,citizens,5
98,spirit,5
99,before,5
100,know,5
101,crisis,5
102,greater,5
103,long,4
104,women,4
105,happiness,4
106,nations,4
107,economy,4
108,never,4
109,trust,4
110,ought,4
111,words,4
112,hand,4
113,life,4
114,being,4
115,success,4
116,through,4
117,free,4
118,duty,4
119,up,4
120,without,4
121,myself,4
122,since,4
123,whether,4
124,prosperity,4
125,great,4
126,might,4
127,once,4
128,hope,4
129,well,4
130,american,4
131,could,4
132,come,4
133,seek,4
134,peace,4
135,end,4
136,question,4
137,many,4
138,confidence,4
139,out,3
140,service,3
141,forward,3
142,generations,3
143,hard,3
144,themselves,3
145,take,3
146,how,3
147,assure,3
148,carried,3
149,charter,3
150,god,3
151,then,3
152,such,3
153,nature,3
154,virtue,3
155,whose,3
156,say,3
157,way,3
158,small,3
159,history,3
160,old,3
161,jobs,3
162,were,3
163,fellow,3
164,ourselves,3
165,given,3
166,light,3
167,liberty,3
168,remain,3
169,states,3
170,system,3
171,force,3
172,conflict,3
173,oath,3
174,journey,3
175,where,3
176,earth,3
177,again,3
178,into,3
179,rather,3
180,former,3
181,man,3
182,americans,3
183,health,3
184,freedom,3
185,duties,3
186,humble,3
187,across,3
188,courage,3
189,still,3
190,subject,3
191,birth,3
192,father,3
193,ideals,3
194,task,3
195,care,3
196,last,3
197,upon,3
198,measures,3
199,moment,3
200,he,3
201,things,3
202,also,2
203,faith,2
204,stronger,2
205,station,2
206,destiny,2
207,extend,2
208,particular,2
209,established,2
210,revolution,2
211,gift,2
212,hands,2
213,wealth,2
214,promise,2
215,defense,2
216,bless,2
217,sentiments,2
218,return,2
219,path,2
220,required,2
221,race,2
222,heaven,2
223,dare,2
224,why,2
225,something,2
226,year,2
227,love,2
228,greatness,2
229,security,2
230,administration,2
231,traveled,2
232,necessary,2
233,retreat,2
234,winter,2
235,knowledge,2
236,opportunities,2
237,use,2
238,lower,2
239,back,2
240,each,2
241,human,2
242,done,2
243,friend,2
244,prosperous,2
245,meaning,2
246,judge,2
247,big,2
248,itself,2
249,month,2
250,waters,2
251,other,2
252,faithful,2
253,even,2
254,willing,2
255,nothing,2
256,lines,2
257,side,2
258,regard,2
259,local,2
260,icy,2
261,remember,2
262,war,2
263,afford,2
264,decline,2
265,patriotism,2
266,would,2
267,willingness,2
268,house,2
269,deliberations,2
270,rules,2
271,civil,2
272,enduring,2
273,faced,2
274,immutable,2
275,build,2
276,true,2
277,if,2
278,ambitions,2
279,during,2
280,hours,2
281,era,2
282,guided,2
283,pecuniary,2
284,age,2
285,passed,2
286,instead,2
287,influence,2
288,together,2
289,policy,2
290,principles,2
291,fail,2
292,off,2
293,west,2
294,throughout,2
295,cooperation,2
296,challenges,2
297,views,2
298,mutual,2
299,brings,2
300,minds,2
301,finally,2
302,against,2
303,voice,2
304,calls,2
305,interests,2
306,governments,2
307,liberties,2
308,impressions,2
309,years,2
310,feed,2
311,understand,2
312,act,2
313,grateful,2
314,often,2
315,article,2
316,find,2
317,rights,2
318,answer,2
319,begin,2
320,workers,2
321,communities,2
322,union,2
323,children,2
324,private,2
325,surest,2
326,forth,2
327,stand,2
328,remembrance,2
329,restore,2
330,further,2
331,like,2
332,qualifications,2
333,character,2
334,schools,2
335,official,2
336,child,2
337,event,2
338,did,2
339,chosen,2
340,safely,2
341,brave,2
342,place,2
343,much,2
344,false,2
345,part,2
346,play,2
347,understood,2
348,market,2
349,own,2
350,blood,2
351,sacred,2
352,fear,2
353,executive,2
354,make,2
355,respect,2
356,peculiarly,2
357,grows,2
358,thank,2
359,purpose,2
360,face,2
361,circumstances,2
362,rendered,2
363,objects,2
364,join,2
365,met,2
366,gratitude,2
367,department,2
368,order,2
369,first,2
370,longer,2
371,cares,2
372,better,2
373,planet,2
374,providential,2
375,storms,2
376,representatives,2
377,yet,2
378,share,2
379,founding,2
380,short,2
381,leave,2
382,taken,2
383,give,2
384,defining,2
385,president,2
386,foundation,2
387,expedient,2
388,eye,2
389,americas,2
390,equal,2
391,filled,2
392,adopt,1
393,presage,1
394,tempering,1
395,command,1
396,sacrificed,1
397,alliances,1
398,swill,1
399,bound,1
400,supplication,1
401,fallen,1
402,ours,1
403,divine,1
404,loyalty,1
405,either,1
406,allotted,1
407,author,1
408,resorting,1
409,wisely,1
410,muslims,1
411,submitted,1
412,domestic,1
413,addition,1
414,laid,1
415,fixed,1
416,hardearned,1
417,route,1
418,conscious,1
419,ordered,1
420,shuttered,1
421,cut,1
422,deserve,1
423,judged,1
424,flourish,1
425,size,1
426,wrong,1
427,dispositions,1
428,execute,1
429,anxieties,1
430,instrument,1
431,tranquil,1
432,unpleasant,1
433,shown,1
434,wisest,1
435,fame,1
436,beneath,1
437,estimates,1
438,friends,1
439,humility,1
440,indifference,1
441,reveal,1
442,sapping,1
443,collective,1
444,grandest,1
445,honorable,1
446,waver,1
447,deciding,1
448,justness,1
449,awaken,1
450,fought,1
451,relies,1
452,sweatshops,1
453,wornout,1
454,pledge,1
455,prepare,1
456,keepers,1
457,nuclear,1
458,humanity,1
459,difficult,1
460,raw,1
461,carefully,1
462,undiminished,1
463,tasted,1
464,documents,1
465,recommend,1
466,unfolds,1
467,dangers,1
468,asylum,1
469,reject,1
470,swayed,1
471,product,1
472,born,1
473,means,1
474,scale,1
475,based,1
476,another,1
477,science,1
478,enemy,1
479,step,1
480,interruptions,1
481,real,1
482,childrens,1
483,unpracticed,1
484,smoke,1
485,demands,1
486,nurture,1
487,transmitted,1
488,terror,1
489,cause,1
490,charge,1
491,maxims,1
492,expanded,1
493,thought,1
494,affections,1
495,whip,1
496,aside,1
497,growth,1
498,retirement,1
499,instance,1
500,deceit,1
501,costly,1
502,contemplated,1
503,christians,1
504,dissent,1
505,veneration,1
506,data,1
507,accordingly,1
508,decision,1
509,judgment,1
510,serious,1
511,swift,1
512,attention,1
513,temperate,1
514,ready,1
515,am,1
516,nourish,1
517,faroff,1
518,publics,1
519,pray,1
520,had,1
521,truths,1
522,unmatched,1
523,require,1
524,city,1
525,change,1
526,national,1
527,habits,1
528,indicators,1
529,quality,1
530,business,1
531,currents,1
532,deficiencies,1
533,pick,1
534,abandoned,1
535,course,1
536,imagination,1
537,benign,1
538,firm,1
539,transition,1
540,besides,1
541,bad,1
542,depended,1
543,outside,1
544,characteristic,1
545,shape,1
546,cost,1
547,raging,1
548,horizon,1
549,sights,1
550,week,1
551,patriots,1
552,party,1
553,prefer,1
554,having,1
555,considered,1
556,dying,1
557,spoken,1
558,consume,1
559,overwhelm,1
560,communism,1
561,expresses,1
562,lash,1
563,job,1
564,does,1
565,thus,1
566,stranger,1
567,indispensably,1
568,untried,1
569,deserts,1
570,bush,1
571,staked,1
572,next,1
573,demand,1
574,kindness,1
575,putting,1
576,conspicuous,1
577,none,1
578,universe,1
579,till,1
580,gladly,1
581,presidential,1
582,riches,1
583,tribe,1
584,flattering,1
585,consequence,1
586,undertaking,1
587,sahn,1
588,expenditures,1
589,adversaries,1
590,possessions,1
591,raise,1
592,faction,1
593,resources,1
594,inhabit,1
595,iraq,1
596,occasional,1
597,exemplified,1
598,latter,1
599,senate,1
600,hindus,1
601,seems,1
602,ground,1
603,evidence,1
604,grids,1
605,conducts,1
606,inevitable,1
607,peoples,1
608,digital,1
609,read,1
610,behold,1
611,affectionate,1
612,weakened,1
613,large,1
614,rising,1
615,selflessness,1
616,surely,1
617,citizenship,1
618,jews,1
619,joined,1
620,included,1
621,account,1
622,endured,1
623,godgiven,1
624,threats,1
625,measure,1
626,afghanistan,1
627,restraint,1
628,actuate,1
629,move,1
630,lights,1
631,flow,1
632,very,1
633,discord,1
634,saw,1
635,await,1
636,prudent,1
637,ushering,1
638,employed,1
639,sees,1
640,perils,1
641,weighty,1
642,lost,1
643,whilst,1
644,republican,1
645,depth,1
646,precisely,1
647,prosper,1
648,intend,1
649,ask,1
650,thence,1
651,emoluments,1
652,expand,1
653,progress,1
654,tranquillity,1
655,voluntary,1
656,advantage,1
657,promises,1
658,assembled,1
659,felicity,1
660,attributes,1
661,generosity,1
662,choices,1
663,resulted,1
664,borne,1
665,commence,1
666,amidst,1
667,vicissitudes,1
668,source,1
669,reaffirming,1
670,charity,1
671,sum,1
672,limited,1
673,concerns,1
674,proceedings,1
675,accomplished,1
676,endowments,1
677,action,1
678,lessen,1
679,law,1
680,selected,1
681,clouds,1
682,reverence,1
683,pledges,1
684,recall,1
685,served,1
686,advancement,1
687,exists,1
688,ordained,1
689,rightful,1
690,ability,1
691,auspiciously,1
692,animosities,1
693,motives,1
694,capital,1
695,imparted,1
696,woman,1
697,ill,1
698,unity,1
699,fair,1
700,shores,1
701,died,1
702,suffering,1
703,originated,1
704,hear,1
705,tanks,1
706,assemblage,1
707,aids,1
708,comprehensive,1
709,humbled,1
710,achieve,1
711,embody,1
712,instruments,1
713,establishing,1
714,gettysburg,1
715,corruption,1
716,ardent,1
717,road,1
718,arduous,1
719,control,1
720,preservation,1
721,told,1
722,her,1
723,stale,1
724,personal,1
725,homage,1
726,dwell,1
727,harmony,1
728,strongly,1
729,enlarged,1
730,prospect,1
731,benediction,1
732,noble,1
733,struggled,1
734,midst,1
735,incident,1
736,feelings,1
737,honored,1
738,drafted,1
739,values,1
740,past,1
741,safety,1
742,threat,1
743,reflections,1
744,electric,1
745,dark,1
746,set,1
747,services,1
748,experienced,1
749,smaller,1
750,nagging,1
751,smiles,1
752,sun,1
753,impregnably,1
754,equally,1
755,declining,1
756,frequent,1
757,advanced,1
758,office,1
759,winds,1
760,cynics,1
761,full,1
762,chapter,1
763,alarmed,1
764,poor,1
765,dollars,1
766,produced,1
767,wield,1
768,imagine,1
769,example,1
770,grace,1
771,recommendations,1
772,settled,1
773,depend,1
774,sufficient,1
775,creed,1
776,measurable,1
777,network,1
778,irresponsibility,1
779,justly,1
780,scrutiny,1
781,gather,1
782,risktakers,1
783,plenty,1
784,apply,1
785,appreciation,1
786,struggle,1
787,programs,1
788,societys,1
789,deeply,1
790,fortyfour,1
791,segregation,1
792,eternal,1
793,advancing,1
794,protecting,1
795,heart,1
796,patchwork,1
797,emerged,1
798,firefighters,1
799,anticipation,1
800,received,1
801,spin,1
802,worked,1
803,gathering,1
804,high,1
805,forbearers,1
806,supply,1
807,knew,1
808,political,1
809,said,1
810,fire,1
811,made,1
812,relative,1
813,starved,1
814,specter,1
815,helps,1
816,fathers,1
817,giving,1
818,tell,1
819,began,1
820,along,1
821,sacrifices,1
822,bodies,1
823,provision,1
824,form,1
825,urged,1
826,instituted,1
827,rewards,1
828,win,1
829,innocents,1
830,inapplicable,1
831,dignified,1
832,settling,1
833,emotions,1
834,timeless,1
835,soil,1
836,reach,1
837,roads,1
838,consumed,1
839,inventive,1
840,proof,1
841,compared,1
842,land,1
843,here,1
844,recriminations,1
845,generate,1
846,wonders,1
847,precious,1
848,therefore,1
849,cars,1
850,demanded,1
851,apologize,1
852,decent,1
853,juncture,1
854,coldest,1
855,ills,1
856,effort,1
857,despondence,1
858,quiet,1
859,language,1
860,weakness,1
861,create,1
862,ages,1
863,magnanimous,1
864,hatreds,1
865,look,1
866,freemen,1
867,forgotten,1
868,role,1
869,partiality,1
870,omit,1
871,adore,1
872,globe,1
873,preeminence,1
874,should,1
875,mountains,1
876,needed,1
877,homes,1
878,lie,1
879,campfires,1
880,called,1
881,hardship,1
882,silencing,1
883,eyes,1
884,expected,1
885,repaired,1
886,easily,1
887,bind,1
888,clean,1
889,whisper,1
890,parent,1
891,leaders,1
892,essential,1
893,advance,1
894,fainthearted,1
895,substitute,1
896,grievances,1
897,remained,1
898,survive,1
899,works,1
900,suggest,1
901,drawn,1
902,responsibly,1
903,seem,1
904,see,1
905,lay,1
906,tested,1
907,storm,1
908,ultimately,1
909,narrow,1
910,thinking,1
911,persuaded,1
912,strength,1
913,snow,1
914,falter,1
915,necessity,1
916,determination,1
917,councils,1
918,choose,1
919,remains,1
920,watchful,1
921,rule,1
922,protect,1
923,advantageously,1
924,improper,1
925,businesses,1
926,consultations,1
927,arguments,1
928,tirelessly,1
929,scarcely,1
930,reform,1
931,sensibility,1
932,down,1
933,help,1
934,restaurant,1
935,aver,1
936,search,1
937,unanimity,1
938,consideration,1
939,distrustful,1
940,invisible,1
941,live,1
942,circumstance,1
943,heritage,1
944,inclination,1
945,palliated,1
946,consequences,1
947,concord,1
948,decisions,1
949,places,1
950,objections,1
951,break,1
952,recognition,1
953,fondest,1
954,ancestors,1
955,delegated,1
956,add,1
957,darkest,1
958,dust,1
959,destroy,1
960,depends,1
961,wise,1
962,alongside,1
963,earlier,1
964,ago,1
965,any,1
966,fuel,1
967,skill,1
968,believe,1
969,satisfaction,1
970,turn,1
971,farreaching,1
972,factories,1
973,waste,1
974,departed,1
975,token,1
976,executing,1
977,leisure,1
978,childish,1
979,supplications,1
980,notification,1
981,danger,1
982,reminded,1
983,few,1
984,powers,1
985,sixty,1
986,acquit,1
987,derived,1
988,pious,1
989,capacity,1
990,entrusted,1
991,fate,1
992,young,1
993,dissolve,1
994,affected,1
995,continuance,1
996,endure,1
997,months,1
998,gradual,1
999,reaffirm,1
1000,ways,1
1001,rugged,1
1002,habit,1
1003,khe,1
1004,soon,1
1005,towards,1
1006,defeat,1
1007,politics,1
1008,fortified,1
1009,proclaim,1
1010,shaped,1
1011,transform,1
1012,span,1
1013,foregoing,1
1014,dogmas,1
1015,deliberating,1
1016,compensation,1
1017,idea,1
1018,petty,1
1019,harness,1
1020,plowed,1
1021,strengthen,1
1022,nonbelievers,1
1023,manage,1
1024,collect,1
1025,guardians,1
1026,sturdy,1
1027,honest,1
1028,alone,1
1029,difficulty,1
1030,alteration,1
1031,commerce,1
1032,fellowcitizens,1
1033,seize,1
1034,missiles,1
1035,lead,1
1036,goods,1
1037,call,1
1038,uncertain,1
1039,honor,1
1040,predilection,1
1041,price,1
1042,addressed,1
1043,inspire,1
1044,sufficiently,1
1045,culture,1
1046,mislead,1
1047,fascism,1
1048,blame,1
1049,remaking,1
1050,stairway,1
1051,properly,1
1052,plans,1
1053,incapacity,1
1054,forced,1
1055,due,1
1056,exercise,1
1057,consider,1
1058,study,1
1059,functions,1
1060,separate,1
1061,broken,1
1062,around,1
1063,aims,1
1064,cling,1
1065,affairs,1
1066,pursuit,1
1067,recommendation,1
1068,worlds,1
1069,failure,1
1070,oceans,1
1071,permanent,1
1072,tides,1
1073,earned,1
1074,enable,1
1075,convictions,1
1076,inducing,1
1077,disinclination,1
1078,differences,1
1079,enjoy,1
1080,possible,1
1081,mind,1
1082,agency,1
1083,band,1
1084,effective,1
1085,thingssome,1
1086,starting,1
1087,designates,1
1088,strangled,1
1089,simply,1
1090,bitter,1
1091,tribute,1
1092,avoid,1
1093,legacy,1
1094,entire,1
1095,degree,1
1096,entering,1
1097,qualities,1
1098,prejudices,1
1099,obscure,1
1100,model,1
1101,blessings,1
1102,greed,1
1103,promoted,1
1104,wage,1
1105,pleased,1
1106,experience,1
1107,universities,1
1108,huddled,1
1109,hatred,1
1110,farms,1
1111,unparalleled,1
1112,summons,1
1113,accept,1
1114,decide,1
1115,inferior,1
1116,already,1
1117,hungry,1
1118,decides,1
1119,consent,1
1120,vital,1
1121,individual,1
1122,characters,1
1123,warming,1
1124,expediences,1
1125,please,1
1126,14th,1
1127,summoned,1
1128,delivered,1
1129,distinguished,1
1130,fervent,1
1131,bold,1
1132,heroes,1
1133,important,1
1134,defect,1
1135,entitle,1
1136,constitution,1
1137,consecrate,1
1138,threaten,1
1139,refused,1
1140,morality,1
1141,outlast,1
1142,muslim,1
1143,productive,1
1144,understanding,1
1145,patrol,1
1146,bigger,1
1147,consistent,1
1148,pat,1
1149,arlington,1
1150,forge,1
1151,run,1
1152,define,1
1153,constitutional,1
1154,resolution,1
1155,statistics,1
1156,propitious,1
1157,violence,1
1158,devise,1
1159,inquietude,1
1160,toiled,1
1161,borders,1
1162,inheriting,1
1163,gross,1
1164,pursue,1
1165,emanates,1
1166,normandy,1
1167,labor,1
1168,satisfying,1
1169,doubt,1
1170,tolerance,1
1171,energy,1
1172,someday,1
1173,right,1
1174,hour,1
1175,shed,1
1176,dignity,1
1177,benefits,1
1178,endanger,1
1179,opportunity,1
1180,occasion,1
1181,little,1
1182,makers,1
1183,experiment,1
1184,spend,1
1185,slaughtering,1
1186,standing,1
1187,interest,1
1188,actual,1
1189,families,1
1190,pass,1
1191,packed,1
1192,powerful,1
1193,magnitude,1
1194,blessing,1
1195,talents,1
1196,moments,1
1197,arising,1
1198,congenial,1
1199,changed,1
1200,misdirect,1
1201,stained,1
1202,choice,1
1203,responsibility,1
1204,gods,1
1205,favor,1
1206,suppressed,1
1207,almighty,1
1208,everywhere,1
1209,refer,1
1210,brief,1
1211,bridges,1
1212,chance,1
1213,levees,1
1214,acknowledge,1
1215,doers,1
1216,honesty,1
1217,foes,1
1218,pure,1
1219,sow,1
1220,truth,1
1221,mark,1
1222,consulted,1
1223,sake,1
1224,pleasures,1
1225,held,1
1226,obedience,1
1227,carry,1
1228,awakened,1
1229,grudgingly,1
1230,worldly,1
1231,indissoluble,1
1232,yes,1
1233,attachments,1
1234,bestowed,1
1235,hopes,1
1236,error,1
1237,adorn,1
1238,seeks,1
1239,watch,1
1240,roll,1
1241,rectitude,1
1242,perhaps,1
1243,perfect,1
1244,outcome,1
1245,parents,1
1246,lessons,1
1247,committed,1
1248,mall,1
1249,renounce,1
1250,continue,1
1251,curiosity,1
1252,watching,1
1253,vision,1
1254,village,1
1255,state,1
1256,solid,1
1257,river,1
1258,among,1
1259,unclench,1
1260,eve,1
1261,effect,1
1262,dear,1
1263,observations,1
1264,instances,1
1265,memories,1
1266,ordinary,1
1267,celebrated,1
1268,shifted,1
1269,technologys,1
1270,independent,1
1271,tendering,1
1272,celebration,1
1273,fist,1
1274,transcendent,1
1275,colleges,1
1276,distinct,1
1277,placed,1
1278,capitals,1
1279,tolerate,1
1280,disregards,1
1281,always,1
1282,scripture,1
1283,badly,1
1284,genuine,1
1285,shortcuts,1
1286,came,1
1287,fifth,1
1288,lose,1
1289,thoroughly,1
1290,magnificent,1
1291,distant,1
1292,profound,1
1293,presides,1
1294,discernment,1
1295,purposes,1
1296,mindful,1
1297,favors,1
